Grupo terapéutico,Principio activo,Presentaciones,Dosis adulto,Dosis peso,Ajuste IR/IH,Vías,Notas,Área
Analgesia/Antitérmico,Paracetamol,500–1000 mg (IV/VO),1 g/6–8h (máx 4 g/día),10–15 mg/kg,Reducir en IH grave,"IV, VO",Vigilar hepatotoxicidad,Urgencias
Antiemético,Ondansetrón,4–8 mg (IV/VO),4 mg/8–12h (máx 16 mg/día),0.1 mg/kg,Máx 8 mg/día en IH grave,"IV, VO",Prolonga QT,Urgencias
Anafilaxia,Adrenalina,1 mg/ml (IM),0.5 mg IM/5–10 min,0.01 mg/kg,No ajuste,IM,1ª elección en anafilaxia,Urgencias
Sedación,Midazolam,1–5 mg/ml (IV/IM),1–2 mg titulados,0.02–0.1 mg/kg,Reducir en IH,"IV, IM",Depresión respiratoria,Urgencias
Antídoto,Naloxona,0.4 mg/ml (IV/IM/IN),0.04–0.2 mg IV,0.01 mg/kg,No ajuste,"IV, IM, IN",Re-sedación posible,Urgencias
Antiarrítmico,Amiodarona,150 mg/3 ml,300 mg bolo PCR,5 mg/kg,Precaución IH,IV,Evitar con bradicardia,Urgencias
Antibiótico,Ceftriaxona,1–2 g IV,1–2 g/24h,50 mg/kg,No ajuste IR,IV,No mezclar con Ca en RN,Urgencias
BZD,Diazepam,5 mg/ml IV; 10 mg rectal,2–10 mg IV,0.1–0.3 mg/kg,Reducir en IH,"IV, rectal",Evitar con alcohol,Neuro_Psiquiatría
Antiepiléptico,Levetiracetam,500 mg–1.5 g VO/IV,500–1500 mg/12h,60 mg/kg carga,Ajustar IR,"IV, VO",Bien tolerado,Neuro_Psiquiatría
Antipsicótico,Haloperidol,5 mg/ml IV/IM,1–5 mg IV/IM,0.05 mg/kg,Reducir IH,"IV, IM",Prolonga QT,Neuro_Psiquiatría
Antidepresivo,Sertralina,50–100 mg VO,50–200 mg/día,—,Reducir IH grave,VO,Síndrome serotoninérgico,Neuro_Psiquiatría
Ansiolítico,Pregabalina,75–300 mg VO,75 mg/12h → máx 600 mg/día,—,Ajustar IR,VO,"Sedación, abuso",Neuro_Psiquiatría
Parkinson,Levodopa/carbidopa,100/25 mg VO,100/25 mg cada 8h,—,Precaución IH,VO,No suspender bruscamente,Neuro_Psiquiatría
Migraña,Sumatriptán,50–100 mg VO; 6 mg SC,50–100 mg VO o 6 mg SC,—,Evitar IH grave,"VO, SC",Contraindicado cardiopatía,Neuro_Psiquiatría
Antiagregante (SCA),Ticagrelor,90 mg VO,Carga 180 mg; luego 90 mg/12 h,—,Precaución IH moderada-grave,VO,Evitar con inductores potentes CYP3A4; disnea.,Cardiología_MI
Antiagregante (SCA),Clopidogrel,75 mg VO,Carga 300–600 mg; luego 75 mg/día,—,No ajuste IR/IH (precaución IH grave),VO,Resistencia variable (CYP2C19).,Cardiología_MI
Anticoagulante DOAC,Apixabán,"2.5, 5 mg VO","5 mg/12 h (2.5 mg/12 h si ≥2 criterios: ≥80 a, ≤60 kg, Cr ≥1.5)",—,Ajustar en IR grave; evitar ClCr <15,VO,Interacciones P-gp/CYP3A4.,Cardiología_MI
Anticoagulante DOAC,Rivaroxabán,"10, 15, 20 mg VO",20 mg/día con comida (FA); 15 mg/día si ClCr 15–49,—,Ajustar IR; evitar <15,VO,Riesgo sangrado GI.,Cardiología_MI
Anticoagulante DOAC,Dabigatrán,"110, 150 mg VO",150 mg/12 h; 110 mg/12 h si ≥80 a o alto riesgo sangrado,—,Ajustar IR; contraindicado <30,VO,Antídoto: idarucizumab.,Cardiología_MI
Inótropo,Dobutamina,250 mg/20 ml (12.5 mg/ml),2–20 mcg/kg/min IV,Peso-basado,Sin ajuste específico; precaución IH,IV,Taquiarritmias; hipotensión.,Cardiología_MI
Inótropo/vasodilatador,Milrinona,10 mg/10 ml (1 mg/ml),Carga 50 mcg/kg en 10 min; luego 0.25–0.75 mcg/kg/min,Peso-basado,Ajustar por IR,IV,Hipotensión; arritmias.,Cardiología_MI
