Grupo terapéutico,Principio activo,Presentaciones habituales (España),Dosis adulto estándar (orientativa),Dosis basada en peso (orientativa),Ajuste en IR/IH (resumen),Vías,Notas/Advertencias
Analgesia/Antitérmico,Paracetamol,500 mg; 650 mg; 1000 mg (IV/VO),Adulto: 1 g cada 6–8 h (máx 4 g/día; 3 g/día si >65 a o hepatopatía).,10–15 mg/kg/dosis cada 6–8 h (máx 60 mg/kg/día).,IR: sin ajuste relevante. IH: reducir dosis; evitar en insuficiencia grave o hepatopatía activa.,"IV, VO",Evitar combinaciones duplicadas; vigilar hepatotoxicidad.
Analgesia/Antitérmico,Ibuprofeno,400 mg; 600 mg (VO),400–600 mg cada 8 h (máx 2400 mg/día).,10 mg/kg cada 8 h (máx 30 mg/kg/día).,IR: evitar si ClCr <30 ml/min; precaución en deshidratación. IH: precaución.,VO,Riesgo GI/renal; asociar gastroprotección si riesgo.
Analgesia/Antitérmico,Metamizol (dipirona),1 g; 2 g (IV/IM/VO),1–2 g cada 8 h (máx 4 g/día).,15 mg/kg/dosis cada 8 h.,IR/IH: reducir dosis; evitar en insuficiencia grave. ,"IV, IM, VO",Raro: agranulocitosis; vigilar.
Analgesia/Antitérmico,Ketorolaco,10 mg (VO); 30 mg (IV/IM),30 mg IV/IM cada 6 h (máx 90 mg/día <65 a; máx 60 mg/día ≥65 a o bajo peso). VO 10 mg cada 6–8 h.,0.5 mg/kg IM/IV (máx según edad).,IR: contraindicado en IR moderada-severa; IH: precaución.,"IV, IM, VO",Duración máx 5 días; riesgo sangrado.
Opioide,Morfina,10 mg/ml ampolla; comprimidos liberación inmediata/retardada,Dolor agudo IV: 2–5 mg en bolos titulados; repetir según respuesta.,0.05–0.1 mg/kg IV/SC/IM; perfusión según necesidad.,IR: acumula metabolitos; reducir 25–50% si ClCr <60. IH: reducir y vigilar.,"IV, SC, IM, VO",Naloxona disponible; vigilar depresión respiratoria.
Opioide,Fentanilo,50 mcg/ml ampolla,25–100 mcg IV cada 5–10 min según respuesta.,1–2 mcg/kg IV lenta o perfusión.,IR: sin ajuste significativo. IH: reducir dosis.,"IV, IM",Inicio rápido; monitorizar.
Opioide/mixto,Tramadol,50 mg cáps; 100 mg/2 ml IV,50–100 mg cada 6–8 h (máx 400 mg/día).,1–2 mg/kg cada 6–8 h.,"IR: si ClCr <30, cada 12 h (máx 200 mg/día). IH: reducir.","VO, IV",Riesgo convulsiones/serotoninérgico.
Antiemético,Ondansetrón,4 mg/2 ml IV; 8 mg VO,4 mg IV/VO cada 8–12 h (máx 16 mg/día).,0.1 mg/kg/dosis (máx 4 mg).,IR: sin ajuste. IH: máx 8 mg/día en insuficiencia hepática moderada‑grave.,"IV, VO",Prolongación QT (alta dosis).
Antiemético/procinético,Metoclopramida,10 mg/2 ml IV; 10 mg VO,10 mg cada 8 h (máx 30 mg/día).,0.1–0.15 mg/kg cada 8 h.,IR: reducir 50% si ClCr <40. IH: reducir; evitar en Parkinson.,"IV, VO",Efectos extrapiramidales; evitar >3 meses.
Anafilaxia,Adrenalina (epinefrina) 1 mg/ml (1:1000) IM; 1 mg/10 ml (1:10 000) IV,1 mg/ml (IM); 0.1 mg/ml (IV),Anafilaxia: 0.5 mg IM (0.5 ml de 1 mg/ml) cada 5–10 min si precisa. PCR: 1 mg IV cada 3–5 min.,0.01 mg/kg IM (máx 0.5 mg).,IR/IH: no ajuste.,"IM, IV, nebulizada",Preferir IM cara anterolateral muslo.
Corticoide,Dexametasona,4 mg/ml IV; 8 mg VO,4–8 mg IV/VO en anafilaxia/edema laríngeo/CEFA; pautas según cuadro.,0.1–0.2 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO",Beneficio diferido en anafilaxia.
Corticoide,Hidrocortisona,100 mg vial,100–200 mg IV en shock anafiláctico/insuficiencia suprarrenal.,2 mg/kg IV.,IR: sin ajuste. IH: precaución.,IV,
Broncodilatador,Salbutamol,2.5 mg/2.5 ml; 5 mg/2.5 ml nebulizable; inhalador 100 mcg,Nebulización 2.5–5 mg cada 20 min x 3 luego según respuesta; MDI 4–8 pulsaciones cada 20 min x 3.,0.15 mg/kg/dosis.,IR/IH: sin ajuste.,"Nebulizada, inhalada",Vigilar taquicardia/hipoK.
Anticolinérgico,Ipratropio,0.5 mg/2 ml nebulizable,0.5 mg nebulizado cada 20 min x 3 en exacerbación.,—,IR/IH: sin ajuste.,Nebulizada,Asociar a beta‑agonista en crisis moderada‑grave.
Corticoide inhalado,Budesonida,0.5 mg/2 ml; 1 mg/2 ml nebulizable,0.5–1 mg nebulizado cada 12 h.,—,IR/IH: sin ajuste.,Nebulizada,Alternativa a sistémicos en algunas crisis.
Electrolito,Sulfato de magnesio,1 g/10 ml; 2 g/20 ml,Asma grave: 2 g IV en 20 min.,40–50 mg/kg (máx 2 g).,IR: precaución (acumula). IH: sin ajuste.,IV,Vigilar TA y reflejos.
Sedación/inducción,Midazolam,1 mg/ml; 5 mg/ml,1–2 mg IV titulados; perfusión en UCI según objetivo.,0.02–0.1 mg/kg IV.,IR: sin ajuste relevante. IH: reducir.,"IV, IM, VO",Depresión respiratoria.
Sedación/inducción,Diazepam,5 mg/ml IV; 10 mg VO,5–10 mg IV lenta según crisis/ansiedad.,0.1–0.3 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO, rectal",
BZD (estatus),Lorazepam,2 mg/ml IV; 1–2 mg VO,1–2 mg IV repetible en estatus convulsivo.,0.05–0.1 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO",
Inductor,Etomidato,20 mg/10 ml (2 mg/ml),0.3 mg/kg IV para inducción.,0.3 mg/kg.,IR/IH: sin ajuste significativo.,IV,Supresión adrenal transitoria.
Inductor,Propofol,10 mg/ml,1–2 mg/kg IV inducción; mantenimiento 5–10 mg/kg/h.,1–2 mg/kg.,IR: sin ajuste. IH: reducir.,IV,Evitar en hipotensión no resucitada.
Analgosedación/disociativo,Ketamina,50 mg/ml; 100 mg/ml,Analgesia: 0.1–0.3 mg/kg IV; Sedación: 1–2 mg/kg IV o 4–5 mg/kg IM.,ver adulto (peso‑basado).,IR: sin ajuste. IH: precaución.,"IV, IM",Broncodilatador; puede ↑PA/FC.
Bloqueo neuromuscular,Rocuronio,10 mg/ml,RSI: 1–1.2 mg/kg IV; mantenimiento 0.2–0.3 mg/kg.,1–1.2 mg/kg.,IR: sin ajuste; IH: prolongación posible.,IV,Antagonizable con sugammadex.
Bloqueo neuromuscular,Succinilcolina,20 mg/ml,RSI: 1–1.5 mg/kg IV.,1–1.5 mg/kg.,"IR/IH: sin ajuste; evitar en hiperK, politrauma tardío, quemados.",IV,Contraindicada en hiperK conocida/miopatías.
Antídoto opioides,Naloxona,0.4 mg/ml ampolla,0.04–0.2 mg IV titulable; repetir hasta respiración adecuada.,0.01 mg/kg IV/IM/IN.,IR/IH: sin ajuste.,"IV, IM, IN",Vigilar re‑sedación (vida media corta).
Antídoto BZD,Flumazenilo,0.1 mg/ml ampolla,0.2 mg IV en 15 s; repetir 0.1 mg cada min hasta 1 mg.,0.01 mg/kg (máx 0.2 mg/dosis).,IR/IH: precaución.,IV,Evitar si riesgo convulsivo por sobredosis mixta/TCAs.
Antídoto paracetamol,N‑acetilcisteína (NAC),200 mg/ml IV; 600 mg VO,Esquema IV: 150/50/100 mg/kg (0–1 h/1–4 h/4–21 h).,mg/kg según esquema.,IR: sin ajuste. IH: indicada en hepatotoxicidad.,"IV, VO",Ajustar a peso real; reacciones anafilactoides posibles.
