Grupo terapéutico,Principio activo,Presentaciones habituales (España),Dosis adulto estándar (orientativa),Dosis basada en peso (si aplica),Ajuste en IR/IH (resumen),Vías,Notas/Advertencias
Benzodiacepina (crisis/ansiedad),Diazepam,5 mg/ml IV; 10 mg rectal; 5–10 mg VO,Ansiedad/agitación: 2–10 mg IV/IM/VO según respuesta; Estatus: 10 mg IV lenta (repetible).,0.1–0.3 mg/kg en convulsión (máx 10 mg por dosis).,"IR: sin ajuste relevante. IH: precaución, reducir.","IV, IM, VO, rectal",Depresión respiratoria; evitar con alcohol/opiáceos.
Benzodiazepina (estatus),Lorazepam,2 mg/ml IV; 1–2 mg VO,"Estatus: 4 mg IV lenta, repetible 2 mg cada 5–10 min (máx 8 mg inicial).",0.05–0.1 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO",Vida media intermedia; monitorizar ventilación.
Benzodiacepina (sedación),Midazolam,1 mg/ml y 5 mg/ml IV/IM; 15 mg VO (solución),Titulación IV 1–2 mg cada 1–2 min hasta efecto; perfusión según objetivo.,0.02–0.1 mg/kg.,IR: sin ajuste relevante. IH: reducir dosis.,"IV, IM, VO, IN",Útil intranasal en crisis; depresión respiratoria.
Antiepiléptico,Levetiracetam,"500 mg, 1 g, 1.5 g VO; 500 mg/5 ml IV",Carga estatus: 60 mg/kg (máx 4500 mg) IV; Mantenimiento: 500–1500 mg cada 12 h.,Peso‑basado en carga (hasta 60 mg/kg).,IR: ajustar según ClCr (↓ dosis/↑ intervalo). IH: sin ajuste.,"IV, VO","Bien tolerado; vigilar somnolencia, irritabilidad."
Antiepiléptico,Valproato sódico,400 mg/4 ml IV; 500 mg VO (depende marca),Carga estatus: 20–40 mg/kg IV; mantenimiento 500–1000 mg cada 12 h.,20–40 mg/kg en carga.,IR: sin ajuste. IH: contraindicado en hepatopatía grave; monitorizar transaminasas.,"IV, VO",Riesgo hepatotoxicidad; trombocitopenia; teratógeno.
Antiepiléptico,Lacosamida,"200 mg/20 ml IV; 50, 100, 150, 200 mg VO",Carga 200–400 mg IV/VO; mantenimiento 100–200 mg cada 12 h.,Carga no estrictamente peso‑basada (usar 4–8 mg/kg si <50 kg).,IR: ajustar si ClCr ≤30 ml/min (máx 300 mg/día). IH: precaución.,"IV, VO",Prolongación PR; cuidado en bloqueo AV.
Antiepiléptico,Fenitoína / fosfenitoína,Fenitoína 250 mg/5 ml; FOS 100 mg/ml,"Carga 15–20 mg/kg (FOS mejor IV), mantenimiento 4–6 mg/kg/día.",15–20 mg/kg carga.,IR: sin ajuste. IH: ajustar; alto metabolismo hepático.,"IV, VO",Arritmias con infusión rápida (≤50 mg/min fenitoína; FOS más segura).
Antiepiléptico,Lamotrigina,"25, 50, 100 mg VO",50 mg/día e ir titulando cada 1–2 semanas hasta 100–200 mg/12 h.,—,IR: precaución. IH: ajustar (metab hepático).,VO,Riesgo exantema grave (SJS) si titulación rápida o con valproato.
Antiepiléptico / Estabilizador del ánimo,Carbamazepina,200 mg VO (lib. inmediata); 400 mg lib. prolongada,"200 mg/12 h, aumentar 200 mg cada 3–4 días hasta 400–600 mg/12 h.",—,IR: sin ajuste. IH: ajustar (metab hepático); autoinducción enzimática.,VO,"Hiponatremia, interacciones (CYP3A4)."
Antipsicótico típico,Haloperidol,5 mg/ml IV/IM; 1–5 mg VO,"Agitación: 1–5 mg IV/IM, repetir cada 15–30 min; Mantenimiento 2–10 mg/día VO.",0.05 mg/kg (pediatría).,IR: sin ajuste. IH: reducir dosis.,"IV, IM, VO",Prolongación QT; síndrome neuroléptico maligno (raro).
Antipsicótico atípico,Olanzapina,10 mg vial IM; 5–20 mg VO,Agitación IM: 10 mg (repetible hasta 30 mg/24 h); Oral 5–10 mg/día (ajustar).,—,IR: sin ajuste. IH: precaución.,"IM, VO",Evitar IM concomitante con BZD parenteral (depresión respiratoria).
Antipsicótico atípico,Risperidona,1–4 mg VO; depósito palmitato (IM 25–150 mg),VO inicial 1 mg/12 h → 2–4 mg/día; Depot mensual según producto.,—,IR: reducir si ClCr <30. IH: precaución.,"VO, IM (depot)",Síntomas extrapiramidales dosis‑dependientes.
Antipsicótico atípico,Quetiapina,"25, 100, 200, 300 mg VO","Inicio 25 mg/12 h, titular a 300–600 mg/día (psicosis); 25–100 mg noche (insomnio).",—,IR: sin ajuste. IH: reducir (metab hepático).,VO,Sedación y ortostatismo frecuentes.
Antipsicótico atípico,Ziprasidona,20 mg/ml IM; 40–80 mg VO,"Agitación IM: 10–20 mg, repetir cada 2 h (máx 40 mg/24 h); Oral 40–80 mg/12 h con comida.",—,IR/IH: precaución.,"IM, VO",Prolonga QT; evitar con otros fármacos QT.
Antipsicótico atípico,Aripiprazol,10 mg vial IM; 5–30 mg VO; depot mensual,Agitación IM: 9.75 mg (repetible); VO 10–15 mg/día (ajustar).,—,IR: sin ajuste. IH: precaución (ajustar según interacciones CYP2D6/3A4).,"IM, VO",Menor riesgo metabólico; acatisia.
Antipsicótico atípico (resistente),Clozapina,"25, 100 mg VO",Inicio 12.5–25 mg/día; titular lentamente a 100–300 mg/día (según respuesta).,—,IR: sin ajuste. IH: precaución.,VO,Agranulocitosis: control hematológico estricto; ileo paralítico; miocarditis (raro).
ISRS,Sertralina,"50, 100 mg VO","50 mg/día (depresión/ansiedad), titular hasta 100–200 mg/día.",—,IR: sin ajuste. IH: reducir en IH moderada‑grave.,VO,Náusea inicial; disfunción sexual; riesgo serotoninérgico.
ISRS,Escitalopram,"10, 20 mg VO","10 mg/día, hasta 20 mg/día.",—,IR: ajustar si ClCr <30; IH: 10 mg/día máx en IH grave.,VO,Prolonga QT (dosis altas).
IRSN,Duloxetina,"30, 60 mg VO","30–60 mg/día (dolor neuropático/ansiedad), máx 120 mg/día.",—,IR: evitar si ClCr <30. IH: contraindicada en IH grave.,VO,Aumenta TA; náusea; retirada gradual.
IRSN,Venlafaxina,"37.5, 75, 150 mg VO (lib. prolongada)","75 mg/día, titular a 150–225 mg/día.",—,IR: reducir dosis. IH: precaución.,VO,Aumenta TA (dosis altas); síndrome de retirada.
ATC (dolor/insomnio),Amitriptilina,"25, 75 mg VO",10–25 mg noche (dolor/insomnio); Depresión 25–50 mg/12 h (menos usado).,—,IR: sin ajuste. IH: precaución.,VO,Anticolinérgico; cardiotoxicidad en sobredosis (QRS ancho).
ISRN/NaSSA (insomnio/appetit),Mirtazapina,"15, 30, 45 mg VO","15 mg noche, titular 30–45 mg.",—,IR: reducir si ClCr <40. IH: precaución.,VO,Sedación y ↑apetito/peso.
Antidepresivo sedante,Trazodona,100 mg VO; 50 mg VO (según marca),25–100 mg noche (insomnio); Depresión hasta 150–300 mg/día.,—,IR/IH: precaución.,VO,Priapismo raro; hipotensión ortostática.
